event_name,date,day_type,sector_zone,parking_walk_km,shuttle_distance_km,has_expanded_ghat,throughput_tier,days_since_start,festival_proximity_days,temperature_c,crowd_risk_level,is_synthetic,data_source_notes
Nashik Simhastha 2015 - 1st Shahi Snan,2015-08-29,Shahi Snan,Ram Kund - Panchavati,1.5,8.0,0,3,15,0,28.5,Extreme,0,Sourced: ~3.5M pilgrims bathed on 1st Shahi Snan at Ram Kund (TOI/Divya Bhaskar 2015 reports).
Nashik Simhastha 2015 - 2nd Shahi Snan,2015-09-13,Shahi Snan,Ram Kund - Panchavati,1.5,8.0,0,3,30,0,30.0,Extreme,0,Sourced: ~4.0M peak turnout reported at Ram Kund & Godavari ghats (Indian Express 2015).
Nashik Simhastha 2015 - 3rd Shahi Snan,2015-09-18,Shahi Snan,Trimbakeshwar Inner Ghats,2.2,12.0,0,3,35,0,29.0,Extreme,0,Sourced: ~3.0M pilgrims at Kushaavarta Kund Trimbakeshwar (Business Standard 2015).
Nashik Simhastha 2015 - Flag Hoisting Day,2015-08-14,Normal Day,Tapovan,1.0,5.0,0,2,0,5,27.0,Medium,0,Sourced: ~800k estimated attendance for opening ceremony at Tapovan flag hoisting.
Nashik Simhastha 2015 - Regular Midweek Day,2015-08-25,Normal Day,Sadhugram,0.8,4.0,0,1,11,4,26.5,Low,0,Sourced: Moderate daily pilgrim movement (~300k) recorded in non-peak weekday.
Prayagraj Kumbh 2019 - Mauni Amavasya,2019-02-04,Amavasya,Ram Kund - Panchavati,2.5,14.0,0,3,20,0,22.0,Extreme,0,Sourced: ~50M single-day peak attendance at Prayagraj Sangam (Official UP Govt release 2019).
Prayagraj Kumbh 2019 - Makar Sankranti,2019-01-15,Shahi Snan,Ram Kund - Panchavati,2.0,10.0,1,2,1,0,20.0,High,0,Sourced: ~22.5M took holy dip on opening Shahi Snan.
Haridwar Kumbh 2021 - Somvati Amavasya,2021-04-12,Amavasya,Trimbakeshwar Inner Ghats,2.2,11.0,0,3,12,0,31.0,High,0,Sourced: ~3.1M bathers at Har Ki Pauri under COVID restrictions.
Prayagraj Maha Kumbh 2025 - Paush Purnima,2025-01-13,Shahi Snan,Ram Kund - Panchavati,2.1,12.0,1,1,1,0,19.5,High,0,Sourced: ~17.5M pilgrims recorded on opening day of 2025 Maha Kumbh.
Prayagraj Maha Kumbh 2025 - Mauni Amavasya,2025-01-29,Amavasya,Ram Kund - Panchavati,2.8,15.0,1,2,17,0,21.0,Extreme,0,Sourced: Estimated ~45-50M single-day turnout at Triveni Sangam.
Nashik 2015 - Post-Shahi Snan Weekend,2015-09-05,Weekend,Tapovan,1.2,6.0,0,2,22,2,27.5,Medium,0,Sourced: Heavy weekend surge (~1.2M) following 1st Shahi Snan.
Nashik 2015 - Outer Transit Rajur Bahula,2015-08-29,Shahi Snan,Outer Transit & Parking,3.5,16.0,0,1,15,0,28.5,High,0,Sourced: Rajur Bahula parking hub holding peak traffic from Mumbai corridor.
Nashik 2027 Simulation Day 12,2027-08-12,Normal Day,Outer Transit & Parking,2.9,13.57,0,1,11,5,23.3,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 2,2027-08-02,Normal Day,Sadhugram,1.33,4.06,1,1,1,7,24.4,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 37,2027-08-07,Normal Day,Trimbakeshwar Inner Ghats,1.54,12.2,0,2,36,1,34.7,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 31,2027-08-01,Weekend,Trimbakeshwar Inner Ghats,1.58,12.86,0,2,30,4,34.3,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 24,2027-08-24,Shahi Snan,Tapovan,0.82,5.39,1,2,23,0,29.9,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 40,2027-08-10,Normal Day,Tapovan,1.42,7.28,0,2,39,2,32.1,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
